index,plate from,well from,native_from,plate to,well to,native to,volume,chaser,map,solvent (from),standard (from),volume (from),solvent (to),standard (to),volume (to),"Y, ppm"
15,plate1,A1,A1,ICP1,A15,F15,100,2300,73,0.02121940466634955,0.9787805953336505,18700.0,0.9589982143083798,0.04100178569162021,2400.0,0.8200357138324041
16,plate1,A2,A2,ICP1,B1,E1,100,2300,77,0.02121940466634955,0.9787805953336505,18700.0,0.9589982143083798,0.04100178569162021,2400.0,0.8200357138324041
17,plate1,B1,B1,ICP1,B2,E2,100,2300,81,0.026453525497010803,0.9735464745029893,18700.0,0.9592174751944312,0.040782524805568765,2400.0,0.8156504961113753
18,plate1,B2,B2,ICP1,B3,E3,100,2300,85,0.026453525497010803,0.9735464745029893,18700.0,0.9592174751944312,0.040782524805568765,2400.0,0.8156504961113753
19,plate1,A1,A1,ICP1,B4,E4,100,2300,89,0.026453525497010803,0.9735464745029893,18700.0,0.9592174751944312,0.040782524805568765,2400.0,0.8156504961113753
20,plate1,A2,A2,ICP1,B5,E5,100,2300,93,0.026453525497010803,0.9735464745029893,18700.0,0.9592174751944312,0.040782524805568765,2400.0,0.8156504961113753
21,plate1,B1,B1,ICP1,B6,E6,100,2300,97,0.03165965637670595,0.9683403436232941,18700.0,0.9594355635623755,0.04056443643762455,2400.0,0.8112887287524908
22,plate1,B2,B2,ICP1,B7,E7,100,2300,101,0.03165965637670595,0.9683403436232941,18700.0,0.9594355635623755,0.04056443643762455,2400.0,0.8112887287524908
23,plate1,A1,A1,ICP1,B8,E8,100,2300,105,0.03165965637670595,0.9683403436232941,18700.0,0.9594355635623755,0.04056443643762455,2400.0,0.8112887287524908
24,plate1,A2,A2,ICP1,B9,E9,100,2300,109,0.03165965637670595,0.9683403436232941,18700.0,0.9594355635623755,0.04056443643762455,2400.0,0.8112887287524908
25,plate1,B1,B1,ICP1,B10,E10,100,2300,113,0.03683794698431717,0.9631620530156829,18700.0,0.9596524856823628,0.04034751431763725,2400.0,0.8069502863527449
26,plate1,B2,B2,ICP1,B11,E11,100,2300,117,0.03683794698431717,0.9631620530156829,18700.0,0.9596524856823628,0.04034751431763725,2400.0,0.8069502863527449
27,plate1,A1,A1,ICP1,B12,E12,100,2300,121,0.03683794698431717,0.9631620530156829,18700.0,0.9596524856823628,0.04034751431763725,2400.0,0.8069502863527449
28,plate1,A2,A2,ICP1,B13,E13,100,2300,125,0.03683794698431717,0.9631620530156829,18700.0,0.9596524856823628,0.04034751431763725,2400.0,0.8069502863527449
29,plate1,B1,B1,ICP1,B14,E14,100,2300,129,0.041988546198304805,0.9580114538016953,18700.0,0.9598682477910132,0.040131752208986786,2400.0,0.8026350441797355
30,plate1,B2,B2,ICP1,B15,E15,100,2300,133,0.041988546198304805,0.9580114538016953,18700.0,0.9598682477910132,0.040131752208986786,2400.0,0.8026350441797355
31,plate1,A1,A1,ICP1,C1,D1,100,2300,137,0.041988546198304805,0.9580114538016953,18700.0,0.9598682477910132,0.040131752208986786,2400.0,0.8026350441797355
32,plate1,A2,A2,ICP1,C2,D2,100,2300,141,0.041988546198304805,0.9580114538016953,18700.0,0.9598682477910132,0.040131752208986786,2400.0,0.8026350441797355
